,Accession,Organism_Name,SRA_Accession,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,Host,Isolation_Source,BioSample,GenBank_Title
265,NC_078230,Oyo virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Orthobunyavirus oyoense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4376,RefSeq,complete,,M,,Nigeria,Nigeria,,,,"Oyo virus segment M polyprotein gene, complete cds"
266,NC_078231,Mapputta virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,MRM186,Orthobunyavirus mitchellense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),867,RefSeq,complete,,S,1.0,Australia,Australia,Anopheles meraukensis,,,"Mapputta virus isolate MRM186 segment S, complete sequence"
267,NC_078232,Mapputta virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,MRM186,Orthobunyavirus mitchellense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4356,RefSeq,complete,,M,1.0,Australia,Australia,Anopheles meraukensis,,,"Mapputta virus isolate MRM186 segment M, complete sequence"
268,NC_078233,Mapputta virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,MRM186,Orthobunyavirus mitchellense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6887,RefSeq,complete,,L,1.0,Australia,Australia,Anopheles meraukensis,,,"Mapputta virus isolate MRM186 segment L, complete sequence"
269,NC_078234,Buffalo Creek virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,DPP186,Orthobunyavirus buffaloense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4338,RefSeq,complete,,M,1.0,Australia,Australia,Anopheles meraukensis,,,"Buffalo Creek virus isolate DPP186 segment M, complete sequence"
270,NC_078235,Buffalo Creek virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,DPP186,Orthobunyavirus buffaloense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6921,RefSeq,complete,,L,1.0,Australia,Australia,Anopheles meraukensis,,,"Buffalo Creek virus isolate DPP186 segment L, complete sequence"
271,NC_078236,Buffalo Creek virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,DPP186,Orthobunyavirus buffaloense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),927,RefSeq,complete,,S,1.0,Australia,Australia,Anopheles meraukensis,,,"Buffalo Creek virus isolate DPP186 segment S, complete sequence"
272,NC_078239,Xinzhou Spider Virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Xinspivirus xinzhouense,Xinspivirus,Nairoviridae,ssRNA(-),2025,RefSeq,complete,,S,1.0,China,China,Neoscona nautica,,,"Xinzhou Spider Virus strain XZZZ-2 nucleocapsid protein (N) gene, complete cds"
273,NC_078240,Xinzhou Spider Virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Xinspivirus xinzhouense,Xinspivirus,Nairoviridae,ssRNA(-),3322,RefSeq,complete,,M,1.0,China,China,Neoscona nautica,,,"Xinzhou Spider Virus strain XZZZ-2 glycoprotein precursor (G) gene, partial cds"
274,NC_078241,Xinzhou Spider Virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Xinspivirus xinzhouense,Xinspivirus,Nairoviridae,ssRNA(-),12336,RefSeq,complete,,L,1.0,China,China,Neoscona nautica,,,"Xinzhou Spider Virus strain XZZZ-2 RNA-dependent RNA polymerase (L) gene, complete cds"
275,NC_078242,Gan Gan virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,NB6057,Orthobunyavirus ganganense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4359,RefSeq,complete,,M,,Australia,Australia,Ochlerotatus vigilax,,,"Gan Gan virus segment M, complete sequence"
276,NC_078243,Gan Gan virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,NB6057,Orthobunyavirus ganganense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6849,RefSeq,complete,,L,,Australia,Australia,Ochlerotatus vigilax,,,"Gan Gan virus segment L, complete sequence"
277,NC_078244,Gan Gan virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,NB6057,Orthobunyavirus ganganense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),910,RefSeq,complete,,S,,Australia,Australia,Ochlerotatus vigilax,,,"Gan Gan virus segment S, complete sequence"
278,NC_078245,Corfou virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Phlebovirus corfouense,Phlebovirus,Phenuiviridae,ssRNA(+/-),6453,RefSeq,complete,,L,,Greece,Greece,Phlebotomus major,,,"Corfou virus strain Pa Ar 814 segment L, complete sequence"
279,NC_078246,Corfou virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Phlebovirus corfouense,Phlebovirus,Phenuiviridae,ssRNA(+/-),1704,RefSeq,complete,,S,,Greece,Greece,Phlebotomus major,,,"Corfou virus strain Pa Ar 814 segment S, complete sequence"
280,NC_078247,Corfou virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Phlebovirus corfouense,Phlebovirus,Phenuiviridae,ssRNA(+/-),4329,RefSeq,complete,,M,,Greece,Greece,Phlebotomus major,,,"Corfou virus strain Pa Ar 814 segment M, complete sequence"
281,NC_078248,Taggert virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,MI14850,Orthonairovirus macquariense,Orthonairovirus,Nairoviridae,ssRNA(-),4573,RefSeq,complete,,M,,Australia,Australia,Ixodes uriae,,,"Taggert virus glycoprotein precursor (QK646_sMgp1) gene, complete cds"
282,NC_078249,Taggert virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,MI14850,Orthonairovirus macquariense,Orthonairovirus,Nairoviridae,ssRNA(-),11854,RefSeq,complete,,,,Australia,Australia,Ixodes uriae,,,"Taggert virus RNA-dependent RNA polymerase (QK646_sLgp1) gene, complete cds"
283,NC_078250,Taggert virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,MI14850,Orthonairovirus macquariense,Orthonairovirus,Nairoviridae,ssRNA(-),1630,RefSeq,complete,,S,,Australia,Australia,Ixodes uriae,,,"Taggert virus nucleocapsid (QK646_sSgp1) gene, complete cds"
284,NC_078251,Bandia virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,IPD/A611,Orthonairovirus bandiaense,Orthonairovirus,Nairoviridae,ssRNA(-),5130,RefSeq,complete,,M,1.0,Senegal,Senegal,Mastomys sp.,,,UNVERIFIED: Bandia virus isolate IPD/A611 segment M genomic sequence
285,NC_078252,Bandia virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,IPD/A611,Orthonairovirus bandiaense,Orthonairovirus,Nairoviridae,ssRNA(-),1960,RefSeq,complete,,S,1.0,Senegal,Senegal,Mastomys sp.,,,UNVERIFIED: Bandia virus isolate IPD/A611 segment S genomic sequence
286,NC_078253,Bandia virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,IPD/A611,Orthonairovirus bandiaense,Orthonairovirus,Nairoviridae,ssRNA(-),12139,RefSeq,complete,,L,1.0,Senegal,Senegal,Mastomys sp.,,,UNVERIFIED: Bandia virus isolate IPD/A611 segment L genomic sequence
287,NC_078254,Clo Mor virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,52301-14,Orthonairovirus sakhalinense,Orthonairovirus,Nairoviridae,ssRNA(-),12189,RefSeq,complete,,L,1.0,USA: Texas,USA,Argas cooleyi,,,"UNVERIFIED: Clo Mor virus isolate 52301-14 segment L, complete sequence"
288,NC_078255,Clo Mor virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,52301-14,Orthonairovirus sakhalinense,Orthonairovirus,Nairoviridae,ssRNA(-),4799,RefSeq,complete,,M,1.0,USA: Texas,USA,Argas cooleyi,,,"UNVERIFIED: Clo Mor virus isolate 52301-14 segment M, complete sequence"
289,NC_078259,Pacific coast tick nairovirus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,Docc2011cons,Pacific coast tick nairovirus,Orthonairovirus,Nairoviridae,ssRNA(-),1739,RefSeq,complete,,N,,USA,USA,Dermacentor occidentalis,,,"Pacific coast tick nairovirus isolate Docc2011cons segment N, complete sequence"
290,NC_078260,Pacific coast tick nairovirus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,Docc2011cons,Pacific coast tick nairovirus,Orthonairovirus,Nairoviridae,ssRNA(-),12461,RefSeq,complete,,M,,USA,USA,Dermacentor occidentalis,,,"Pacific coast tick nairovirus isolate Docc2011cons segment M, complete sequence"
291,NC_078261,Xuan son virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,PR15,Mobatvirus xuansonense,Mobatvirus,Hantaviridae,ssRNA(-),3583,RefSeq,complete,,M,,"China: Yunnan province, Puer city",China,Hipposideros pomona,lung,,"Xuan son virus isolate PR15 segment M, complete sequence"
292,NC_078262,Xuan son virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,PR15,Mobatvirus xuansonense,Mobatvirus,Hantaviridae,ssRNA(-),6522,RefSeq,complete,,L,,"China: Yunnan province, Puer city",China,Hipposideros pomona,lung,,"Xuan son virus isolate PR15 segment L, complete sequence"
293,NC_078263,Xuan son virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,PR15,Mobatvirus xuansonense,Mobatvirus,Hantaviridae,ssRNA(-),1743,RefSeq,complete,,S,,"China: Yunnan province, Puer city",China,Hipposideros pomona,lung,,"Xuan son virus isolate PR15 segment S, complete sequence"
294,NC_078266,Vinegar Hill virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,CS1499,Orthonairovirus australiaense,Orthonairovirus,Nairoviridae,ssRNA(-),12133,RefSeq,complete,,L,,Australia,Australia,Argas robertsi,,,"Vinegar Hill virus isolate CS1499 segment L, complete sequence"
295,NC_078267,Vinegar Hill virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,CS1499,Orthonairovirus australiaense,Orthonairovirus,Nairoviridae,ssRNA(-),1729,RefSeq,complete,,S,,Australia,Australia,Argas robertsi,,,"Vinegar Hill virus isolate CS1499 segment S, complete sequence"
296,NC_078268,Vinegar Hill virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,CS1499,Orthonairovirus australiaense,Orthonairovirus,Nairoviridae,ssRNA(-),4473,RefSeq,complete,,M,,Australia,Australia,Argas robertsi,,,"Vinegar Hill virus isolate CS1499 segment M, complete sequence"
297,NC_078269,Triniti virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Orthobunyavirus trinitiense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),1100,RefSeq,complete,,,,Trinidad and Tobago,Trinidad and Tobago,Trichoprosopon,,,"Triniti virus strain TVRL7994 nucleocapsid protein (QK654_gp1) gene, complete cds"
298,NC_078270,Triniti virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Orthobunyavirus trinitiense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6868,RefSeq,complete,,,,Trinidad and Tobago,Trinidad and Tobago,Trichoprosopon,,,"Triniti virus strain TVRl7994 RNA-dependent RNA polymerase (QK654_gp1) gene, complete cds"
299,NC_078271,Triniti virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Orthobunyavirus trinitiense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4743,RefSeq,complete,,,,Trinidad and Tobago,Trinidad and Tobago,Trichoprosopon,,,"Triniti virus strain TVRL7994 polyprotein (QK654_gp1) gene, complete cds"
300,NC_078274,Sedlec virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Orthobunyavirus sedlecense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),1019,RefSeq,complete,,S,1.0,Czech Republic: Sedlec,Czech Republic,Acrocephalus scirpaceus,,,"Sedlec virus strain Av 172 segment S, complete sequence"
301,NC_078275,Sedlec virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Orthobunyavirus sedlecense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4598,RefSeq,complete,,M,1.0,Czech Republic: Sedlec,Czech Republic,Acrocephalus scirpaceus,,,"Sedlec virus strain Av 172 segment M, complete sequence"
302,NC_078276,Sedlec virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Orthobunyavirus sedlecense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6915,RefSeq,complete,,L,1.0,Czech Republic: Sedlec,Czech Republic,Acrocephalus scirpaceus,,,"Sedlec virus strain Av 172 segment L, complete sequence"
303,NC_078280,Chinese mitten crab virus 1,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Lincruvirus sinense,Lincruvirus,Cruliviridae,ssRNA(-),3266,RefSeq,complete,,M,,China,China,Eriocheir sinensis,,,"Chinese mitten crab virus 1 segment M, complete sequence"
304,NC_078281,Chinese mitten crab virus 1,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Lincruvirus sinense,Lincruvirus,Cruliviridae,ssRNA(-),6691,RefSeq,complete,,L,,China,China,Eriocheir sinensis,,,"Chinese mitten crab virus 1 segment L, complete sequence"
305,NC_078282,Chinese mitten crab virus 1,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Lincruvirus sinense,Lincruvirus,Cruliviridae,ssRNA(-),836,RefSeq,complete,,S,,China,China,Eriocheir sinensis,,,"Chinese mitten crab virus 1 segment S, complete sequence"
306,NC_078283,Salmon pescarenavirus 1,SRR9216244,"National Center for Biotechnology Information, NIH",USA,2023-05-06,G518,Antennavirus salmonis,Antennavirus,Arenaviridae,ssRNA(+/-),6475,RefSeq,complete,,L,,Canada: Dawley Pass or Warne Island,Canada,Oncorhynchus tshawytscha,,SAMN11974800,"MAG: Salmon pescarenavirus 1 isolate G518 segment L RNA-dependent RNA polymerase (QK659_sLgp1) gene, complete cds"
307,NC_078284,Salmon pescarenavirus 1,SRR9216244,"National Center for Biotechnology Information, NIH",USA,2023-05-06,G518,Antennavirus salmonis,Antennavirus,Arenaviridae,ssRNA(+/-),1950,RefSeq,complete,,M,,Canada: Dawley Pass or Warne Island,Canada,Oncorhynchus tshawytscha,,SAMN11974800,"MAG: Salmon pescarenavirus 1 isolate G518 segment M glycoprotein (QK659_sMgp1) gene, complete cds"
308,NC_078285,Salmon pescarenavirus 1,SRR9216244,"National Center for Biotechnology Information, NIH",USA,2023-05-06,G518,Antennavirus salmonis,Antennavirus,Arenaviridae,ssRNA(+/-),1924,RefSeq,complete,,S,,Canada: Dawley Pass or Warne Island,Canada,Oncorhynchus tshawytscha,,SAMN11974800,"MAG: Salmon pescarenavirus 1 isolate G518 segment S nucleoprotein (QK659_sSgp1) gene, complete cds"
312,NC_078289,Sapphire II virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Orthonairovirus khani,Orthonairovirus,Nairoviridae,ssRNA(-),1630,RefSeq,complete,,II_S,1.0,USA,USA,Argas cooleyi,,,"Sapphire II virus segment II_S, complete sequence"
313,NC_078290,Sapphire II virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Orthonairovirus khani,Orthonairovirus,Nairoviridae,ssRNA(-),12157,RefSeq,complete,,II_L,1.0,USA,USA,Argas cooleyi,,,"Sapphire II virus segment II_L, complete sequence"
314,NC_078291,Sapphire II virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Orthonairovirus khani,Orthonairovirus,Nairoviridae,ssRNA(-),4753,RefSeq,complete,,II_M,1.0,USA,USA,Argas cooleyi,,,"Sapphire II virus segment II_M, complete sequence"
315,NC_078292,Kitale virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Mammarenavirus kitaleense,Mammarenavirus,Arenaviridae,ssRNA(+/-),3369,RefSeq,complete,,S,1.0,Kenya,Kenya,Grammomys macmillani,,,"Kitale virus strain AreV2170KEN glycoprotein precursor (GPC) and nucleocapsid protein (NP) genes, complete cds"
316,NC_078293,Kitale virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Mammarenavirus kitaleense,Mammarenavirus,Arenaviridae,ssRNA(+/-),7284,RefSeq,complete,,L,1.0,Kenya,Kenya,Grammomys macmillani,,,"Kitale virus strain AreV2170KEN Z protein (Z) and RNA-dependent RNA polymerase (RdRp) genes, complete cds"
317,NC_078294,Guadeloupe mosquito phasivirus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Phasivirus guadeloupeense,Phasivirus,Phenuiviridae,ssRNA(-),6680,RefSeq,complete,,L,1.0,Guadeloupe,Guadeloupe,Aedes sp.,,,"Guadeloupe mosquito phasivirus strain Ab-AAF-1-3 segment L, complete sequence"
318,NC_078295,Guadeloupe mosquito phasivirus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Phasivirus guadeloupeense,Phasivirus,Phenuiviridae,ssRNA(-),3834,RefSeq,complete,,M,1.0,Guadeloupe,Guadeloupe,Aedes sp.,,,"Guadeloupe mosquito phasivirus strain Ab-AAF-1-3 segment M, complete sequence"
319,NC_078296,Guadeloupe mosquito phasivirus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Phasivirus guadeloupeense,Phasivirus,Phenuiviridae,ssRNA(-),1388,RefSeq,complete,,S,1.0,Guadeloupe,Guadeloupe,Aedes sp.,,,"Guadeloupe mosquito phasivirus strain Ab-AAF-1-3 segment S, complete sequence"
320,NC_078297,Dar es Salaam virus TZ-189,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,TZ-189,Tanzavirus daressalaamense,Tanzavirus,Phenuiviridae,RNA,3776,RefSeq,complete,,M,,Tanzania,Tanzania,Homo sapiens,blood,,"Dar es Salaam virus TZ-189 segment M, complete sequence"
321,NC_078298,Dar es Salaam virus TZ-189,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,TZ-189,Tanzavirus daressalaamense,Tanzavirus,Phenuiviridae,RNA,1309,RefSeq,complete,,S,,Tanzania,Tanzania,Homo sapiens,blood,,"Dar es Salaam virus TZ-189 segment S, complete sequence"
322,NC_078299,Dar es Salaam virus TZ-189,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,TZ-189,Tanzavirus daressalaamense,Tanzavirus,Phenuiviridae,RNA,6474,RefSeq,complete,,L,,Tanzania,Tanzania,Homo sapiens,blood,,"Dar es Salaam virus TZ-189 segment L, complete sequence"
323,NC_078300,Penshurt virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Phlebovirus penshurtense,Phlebovirus,Phenuiviridae,ssRNA(+/-),4193,RefSeq,complete,,M,1.0,Costa Rica,Costa Rica,Choloepus hoffmanni,blood,,"Penshurt virus strain ANHV-Costa Rica segment M glycoprotein (QK665_sMgp1) gene, complete cds"
324,NC_078301,Penshurt virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Phlebovirus penshurtense,Phlebovirus,Phenuiviridae,ssRNA(+/-),6344,RefSeq,complete,,L,1.0,Costa Rica,Costa Rica,Choloepus hoffmanni,blood,,"Penshurt virus strain ANHV-Costa Rica segment L RNA-dependent RNA polymerase (QK665_sLgp1) gene, complete cds"
325,NC_078302,Penshurt virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Phlebovirus penshurtense,Phlebovirus,Phenuiviridae,ssRNA(+/-),1670,RefSeq,complete,,S,1.0,Costa Rica,Costa Rica,Choloepus hoffmanni,blood,,"Penshurt virus strain ANHV-Costa Rica segment S nonstructural protein (QK665_sSgp1) and nucleocapsid protein (QK665_sSgp2) genes, complete cds"
326,NC_078309,Niukluk phantom virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,C7,Orthophasmavirus niuklukense,Orthophasmavirus,Phasmaviridae,ssRNA(-),6916,RefSeq,complete,,L,1.0,USA,USA,,,,"Niukluk phantom virus isolate C7 segment L, complete sequence"
327,NC_078310,Niukluk phantom virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,C7,Orthophasmavirus niuklukense,Orthophasmavirus,Phasmaviridae,ssRNA(-),2438,RefSeq,complete,,S,1.0,USA,USA,,,,"Niukluk phantom virus isolate C7 segment S, complete sequence"
328,NC_078311,Niukluk phantom virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,C7,Orthophasmavirus niuklukense,Orthophasmavirus,Phasmaviridae,ssRNA(-),2762,RefSeq,complete,,M,1.0,USA,USA,,,,"Niukluk phantom virus isolate C7 segment M, complete sequence"
329,NC_078315,andere Heimat virus 1,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,1164-18_AHeV-1,Hartmanivirus patriae,Hartmanivirus,Arenaviridae,ssRNA(+/-),5961,RefSeq,complete,,L,,Brazil,Brazil,Boa constrictor,,,"Andere Heimat virus 1 isolate 1164-18_AHeV-1 segment L, complete sequence"
330,NC_078316,andere Heimat virus 1,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,1164-18_AHeV-1,Hartmanivirus patriae,Hartmanivirus,Arenaviridae,ssRNA(+/-),3598,RefSeq,complete,,S,,Brazil,Brazil,Boa constrictor,,,"Andere Heimat virus 1 isolate 1164-18_AHeV-1 segment S, complete sequence"
331,NC_078317,Narangue virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Mobuvirus narangueense,Mobuvirus,Phenuiviridae,ssRNA(-),1931,RefSeq,complete,,M,,Colombia,Colombia,Mansonia titillans,,,Narangue virus strain Mati1754-2 segment M genomic sequence
332,NC_078318,Narangue virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Mobuvirus narangueense,Mobuvirus,Phenuiviridae,ssRNA(-),7394,RefSeq,complete,,L,,Colombia,Colombia,Mansonia titillans,,,Narangue virus strain Mati1754-2 segment L genomic sequence
333,NC_078319,Narangue virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Mobuvirus narangueense,Mobuvirus,Phenuiviridae,ssRNA(-),1492,RefSeq,complete,,S,,Colombia,Colombia,Mansonia titillans,,,Narangue virus strain Mati1754-2 segment S genomic sequence
334,NC_078323,Meram virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,M1,Orthonairovirus meramense,Orthonairovirus,Nairoviridae,ssRNA(-),12024,RefSeq,complete,,,1.0,Turkey,Turkey,Hyalomma aegyptium,,,"Meram virus isolate M1 RNA-dependent RNA polymerase (QK672_gp1) gene, complete cds"
335,NC_078324,Meram virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,M1,Orthonairovirus meramense,Orthonairovirus,Nairoviridae,ssRNA(-),1458,RefSeq,complete,,,1.0,Turkey,Turkey,Hyalomma aegyptium,,,"Meram virus isolate M1 nucleoprotein (QK672_gp1) gene, complete cds"
336,NC_078325,Meram virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,M1,Orthonairovirus meramense,Orthonairovirus,Nairoviridae,ssRNA(-),4374,RefSeq,complete,,,1.0,Turkey,Turkey,Hyalomma aegyptium,,,"Meram virus isolate M1 glycoprotein precursor (QK672_gp1) gene, complete cds"
337,NC_078326,Hemipteran phasma-related virus OKIAV247,SRR921561,"National Center for Biotechnology Information, NIH",USA,2023-05-06,OKIAV247,Feravirus hemipterus,Feravirus,Phasmaviridae,ssRNA(-),6861,RefSeq,complete,,L,1.0,"Germany: North Rhine-Westphalia, Rhein-Sieg-Kreis Donrath Agger",Germany,Acanthosoma haemorrhoidale,,SAMN02047154,Hemipteran phasma-related virus OKIAV247 segment L genomic sequence
338,NC_078327,Hemipteran phasma-related virus OKIAV247,SRR921561,"National Center for Biotechnology Information, NIH",USA,2023-05-06,OKIAV247,Feravirus hemipterus,Feravirus,Phasmaviridae,ssRNA(-),4251,RefSeq,complete,,M,1.0,"Germany: North Rhine-Westphalia, Rhein-Sieg-Kreis Donrath Agger",Germany,Acanthosoma haemorrhoidale,,SAMN02047154,Hemipteran phasma-related virus OKIAV247 segment M genomic sequence
339,NC_078328,Hemipteran phasma-related virus OKIAV247,SRR921561,"National Center for Biotechnology Information, NIH",USA,2023-05-06,OKIAV247,Feravirus hemipterus,Feravirus,Phasmaviridae,ssRNA(-),1611,RefSeq,complete,,S,1.0,"Germany: North Rhine-Westphalia, Rhein-Sieg-Kreis Donrath Agger",Germany,Acanthosoma haemorrhoidale,,SAMN02047154,Hemipteran phasma-related virus OKIAV247 segment S genomic sequence
343,NC_078332,Coleopteran phasma-related virus OKIAV235,SRR2083667,"National Center for Biotechnology Information, NIH",USA,2023-05-06,OKIAV235,Orthophasmavirus coleopterus,Orthophasmavirus,Phasmaviridae,ssRNA(-),6583,RefSeq,complete,,L,1.0,"Germany: Thuringia, Jena - Jena Forest",Germany,Harmonia axyridis,,SAMN03799571,Coleopteran phasma-related virus OKIAV235 segment L genomic sequence
344,NC_078333,Coleopteran phasma-related virus OKIAV235,SRR2083667,"National Center for Biotechnology Information, NIH",USA,2023-05-06,OKIAV235,Orthophasmavirus coleopterus,Orthophasmavirus,Phasmaviridae,ssRNA(-),1708,RefSeq,complete,,M,1.0,"Germany: Thuringia, Jena - Jena Forest",Germany,Harmonia axyridis,,SAMN03799571,Coleopteran phasma-related virus OKIAV235 segment M genomic sequence
345,NC_078334,Coleopteran phasma-related virus OKIAV235,SRR2083667,"National Center for Biotechnology Information, NIH",USA,2023-05-06,OKIAV235,Orthophasmavirus coleopterus,Orthophasmavirus,Phasmaviridae,ssRNA(-),1646,RefSeq,complete,,S,1.0,"Germany: Thuringia, Jena - Jena Forest",Germany,Harmonia axyridis,,SAMN03799571,Coleopteran phasma-related virus OKIAV235 segment S genomic sequence
349,NC_078346,Embossos virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Phlebovirus embossosense,Phlebovirus,Phenuiviridae,ssRNA(+/-),6380,RefSeq,complete,,L,,Kenya,Kenya,Phlebotominae,,,"Embossos virus strain SP288-KE-2016 segment L, complete sequence"
350,NC_078347,Embossos virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Phlebovirus embossosense,Phlebovirus,Phenuiviridae,ssRNA(+/-),1874,RefSeq,complete,,S,,Kenya,Kenya,Phlebotominae,,,"Embossos virus strain SP288-KE-2016 segment S, complete sequence"
351,NC_078348,Embossos virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Phlebovirus embossosense,Phlebovirus,Phenuiviridae,ssRNA(+/-),4251,RefSeq,complete,,M,,Kenya,Kenya,Phlebotominae,,,"Embossos virus strain SP288-KE-2016 segment M, complete sequence"
352,NC_078349,Bogoria virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Phlebovirus bogoriaense,Phlebovirus,Phenuiviridae,ssRNA(+/-),4233,RefSeq,complete,,M,,Kenya,Kenya,Phlebotominae,,,"Bogoria virus strain SP105-KE-2016 segment M, complete sequence"
353,NC_078350,Bogoria virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Phlebovirus bogoriaense,Phlebovirus,Phenuiviridae,ssRNA(+/-),6366,RefSeq,complete,,L,,Kenya,Kenya,Phlebotominae,,,"Bogoria virus strain SP105-KE-2016 segment L, complete sequence"
354,NC_078351,Bogoria virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Phlebovirus bogoriaense,Phlebovirus,Phenuiviridae,ssRNA(+/-),1715,RefSeq,complete,,S,,Kenya,Kenya,Phlebotominae,,,"Bogoria virus strain SP105-KE-2016 segment S, complete sequence"
355,NC_078352,Kiborgoch virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Phlebovirus kiborgochense,Phlebovirus,Phenuiviridae,ssRNA(+/-),4238,RefSeq,complete,,M,,Kenya,Kenya,Phlebotominae,,,"Kiborgoch virus strain SSP39-KE-2016 segment M, complete sequence"
