Accession,Length,Family,Genus,Segment,GenBank_Title,Unnamed: 6
NC_055202,661,Leishbuviridae,Shilevirus,S,"Leptomonas moramango leishbunyavirus isolate LepmorLBV1a-S nucleocapsid gene, complete cds",
NC_055203,1180,Leishbuviridae,Shilevirus,M,"Leptomonas moramango leishbunyavirus isolate LepmorLBV1a-M hypothetical protein gene, complete cds",
NC_055204,5981,Leishbuviridae,Shilevirus,L,"Leptomonas moramango leishbunyavirus isolate LepmorLBV1a-L putative RNA dependent RNA polymerase gene, complete cds",
NC_055205,4489,Peribunyaviridae,Orthobunyavirus,M,"Tahyna virus strain XJ0625 segment M, complete sequence",
NC_055206,978,Peribunyaviridae,Orthobunyavirus,S,"Tahyna virus strain XJ0625 segment S, complete sequence",
NC_055207,6979,Peribunyaviridae,Orthobunyavirus,L,"Tahyna virus strain XJ0625 segment L, complete sequence",
NC_055208,6518,Rhabdoviridae,Dichorhavirus,1,"Citrus chlorotic spot virus strain Trs1 segment RNA1, complete sequence",
NC_055209,5987,Rhabdoviridae,Dichorhavirus,2,"Citrus chlorotic spot virus strain Trs1 segment RNA2, complete sequence",
NC_055210,945,Peribunyaviridae,Orthobunyavirus,S,"Maguari virus strain BeAr 7272 segment S, complete sequence",
NC_055211,6912,Peribunyaviridae,Orthobunyavirus,L,"Maguari virus strain BeAr 7272 segment L, complete sequence",
NC_055212,4467,Peribunyaviridae,Orthobunyavirus,M,"Maguari virus strain BeAr 7272 segment M, complete sequence",
NC_055213,2076,Phasmaviridae,Orthophasmavirus,M,"Culex phasma-like virus strain mos172gb37606 segment M, complete sequence",
NC_055214,2249,Phasmaviridae,Orthophasmavirus,S,"Culex phasma-like virus strain mos172gb37606 segment S, complete sequence",
NC_055215,6489,Phasmaviridae,Orthophasmavirus,L,"Culex phasma-like virus strain mos172gb37606 segment L, complete sequence",
NC_055216,4478,Nairoviridae,Orthonairovirus,M,"Estero Real orthobunyavirus isolate K329 segment M glycoprotein precursor, gene, complete cds",
NC_055217,11816,Nairoviridae,Orthonairovirus,L,"Estero Real orthobunyavirus isolate K329 segment L RNA-dependent RNA polymerase gene, complete cds",
NC_055218,1640,Nairoviridae,Orthonairovirus,S,"Estero Real orthobunyavirus isolate K329 segment S nucleocapsid gene, complete cds",
NC_055219,2982,Chrysoviridae,Betachrysovirus,3,"Fusarium graminearum dsRNA mycovirus-2 isolate 98-8-60 segment RNA 3, complete sequence",
NC_055220,3000,Chrysoviridae,Betachrysovirus,2,"Fusarium graminearum dsRNA mycovirus-2 isolate 98-8-60 segment RNA 2, complete sequence",
NC_055221,3580,Chrysoviridae,Betachrysovirus,1,"Fusarium graminearum dsRNA mycovirus-2 isolate 98-8-60 segment RNA 1, complete sequence",
NC_055222,2414,Chrysoviridae,Betachrysovirus,5,"Fusarium graminearum dsRNA mycovirus-2 isolate 98-8-60 segment RNA 5, complete sequence",
NC_055223,2748,Chrysoviridae,Betachrysovirus,4,"Fusarium graminearum dsRNA mycovirus-2 isolate 98-8-60 segment RNA 4, complete sequence",
NC_055224,3461,Chrysoviridae,Alphachrysovirus,1,"Shuangao chryso-like virus 1 strain mosWSB68555 segment 1, complete sequence",
NC_055225,3140,Chrysoviridae,Alphachrysovirus,3,"Shuangao chryso-like virus 1 strain mosWSB68555 segment 3, complete sequence",
NC_055226,3059,Chrysoviridae,Alphachrysovirus,4,"Shuangao chryso-like virus 1 strain mosWSB68555 segment 4, complete sequence",
NC_055227,3080,Chrysoviridae,Alphachrysovirus,2,"Shuangao chryso-like virus 1 strain mosWSB68555 segment 2, complete sequence",
NC_055239,1992,Spinareoviridae,Coltivirus,6,"Kundal virus strain MCL-13-T-316 segment 6, complete sequence",
NC_055240,3149,Spinareoviridae,Coltivirus,4,"Kundal virus strain MCL-13-T-316 segment 4, complete sequence",
NC_055241,1850,Spinareoviridae,Coltivirus,9,"Kundal virus strain MCL-13-T-316 segment 9, complete sequence",
NC_055242,2029,Spinareoviridae,Coltivirus,7,"Kundal virus strain MCL-13-T-316 segment 7, complete sequence",
NC_055243,963,Spinareoviridae,Coltivirus,11,"Kundal virus strain MCL-13-T-316 segment 11, complete sequence",
NC_055244,607,Spinareoviridae,Coltivirus,12,"Kundal virus strain MCL-13-T-316 segment 12, complete sequence",
NC_055245,1908,Spinareoviridae,Coltivirus,8,"Kundal virus strain MCL-13-T-316 segment 8, complete sequence",
NC_055246,1835,Spinareoviridae,Coltivirus,10,"Kundal virus strain MCL-13-T-316 segment 10, complete sequence",
NC_055247,3533,Spinareoviridae,Coltivirus,3,"Kundal virus strain MCL-13-T-316 segment 3, complete sequence",
NC_055248,4382,Spinareoviridae,Coltivirus,1,"Kundal virus strain MCL-13-T-316 segment 1, complete sequence",
NC_055249,3922,Spinareoviridae,Coltivirus,2,"Kundal virus strain MCL-13-T-316 segment 2, complete sequence",
NC_055250,2608,Spinareoviridae,Coltivirus,5,"Kundal virus strain MCL-13-T-316 segment 5, complete sequence",
NC_055251,2021,Spinareoviridae,Coltivirus,6,"Tarumizu tick virus VP6 gene for VP6, complete cds, strain: 13T269",
NC_055252,1871,Spinareoviridae,Coltivirus,9,"Tarumizu tick virus VP9', VP9 genes for VP9', VP9, complete cds, strain: 13T269",
NC_055253,979,Spinareoviridae,Coltivirus,11,"Tarumizu tick virus VP11 gene for VP11, complete cds, strain: 13T269",
NC_055254,3926,Spinareoviridae,Coltivirus,2,"Tarumizu tick virus VP2 gene for VP2, complete cds, strain: 13T269",
NC_055255,4335,Spinareoviridae,Coltivirus,1,"Tarumizu tick virus VP1 gene for RNA-dependent RNA polymerase, complete cds, strain: 13T269",
NC_055256,804,Spinareoviridae,Coltivirus,12,"Tarumizu tick virus VP12 gene for VP12, complete cds, strain: 13T269",
NC_055257,1587,Spinareoviridae,Coltivirus,10,"Tarumizu tick virus VP10 gene for VP10, complete cds, strain: 13T269",
NC_055258,1902,Spinareoviridae,Coltivirus,8,"Tarumizu tick virus VP8 gene for VP8, complete cds, strain: 13T269",
NC_055259,3171,Spinareoviridae,Coltivirus,4,"Tarumizu tick virus VP4 gene for VP4, complete cds, strain: 13T269",
NC_055260,2003,Spinareoviridae,Coltivirus,7,"Tarumizu tick virus VP7 gene for VP7, complete cds, strain: 13T269",
NC_055261,3534,Spinareoviridae,Coltivirus,3,"Tarumizu tick virus VP3 gene for VP3, complete cds, strain: 13T269",
NC_055262,2629,Spinareoviridae,Coltivirus,5,"Tarumizu tick virus VP5 gene for VP5, complete cds, strain: 13T269",
NC_055263,743,Sedoreoviridae,Rotavirus,10,"Rotavirus J strain BO4351/Ms/2014 NSP4 (NSP4) gene, complete cds",
NC_055264,2512,Sedoreoviridae,Rotavirus,4,"Rotavirus J strain BO4351/Ms/2014 VP4 (VP4) gene, complete cds",
NC_055265,3010,Sedoreoviridae,Rotavirus,2,"Rotavirus J strain BO4351/Ms/2014 VP2 (VP2) gene, complete cds",
NC_055266,1017,Sedoreoviridae,Rotavirus,8,"Rotavirus J strain BO4351/Ms/2014 NSP2 (NSP2) gene, complete cds",
NC_055267,793,Sedoreoviridae,Rotavirus,9,"Rotavirus J strain BO4351/Ms/2014 VP7 (VP7) gene, complete cds",
NC_055268,3533,Sedoreoviridae,Rotavirus,1,"Rotavirus J strain BO4351/Ms/2014 VP1 (VP1 Pol) gene, complete cds",
NC_055269,2200,Sedoreoviridae,Rotavirus,3,"Rotavirus J strain BO4351/Ms/2014 VP3 (VP3) gene, complete cds",
NC_055270,1322,Sedoreoviridae,Rotavirus,5,"Rotavirus J strain BO4351/Ms/2014 NSP1 (NSP1) gene, complete cds",
NC_055271,1277,Sedoreoviridae,Rotavirus,6,"Rotavirus J strain BO4351/Ms/2014 VP6 (VP6) and ORF-X (ORF-X) genes, complete cds",
NC_055272,1108,Sedoreoviridae,Rotavirus,7,"Rotavirus J strain BO4351/Ms/2014 NSP3 (NSP3) gene, complete cds",
NC_055273,620,Sedoreoviridae,Rotavirus,11,"Rotavirus J strain BO4351/Ms/2014 NSP5 (NSP5) and ORF-Y (ORF-Y) genes, complete cds",
NC_055274,2470,Polymycoviridae,Polymycovirus,1,"Fusarium redolens polymycovirus 1 isolate FRPV.A63-1 segment RNA 1, complete sequence",
NC_055275,1224,Polymycoviridae,Polymycovirus,5,"Fusarium redolens polymycovirus 1 isolate FRPV.A63-1 segment RNA 5, complete sequence",
NC_055276,1015,Polymycoviridae,Polymycovirus,6,"Fusarium redolens polymycovirus 1 isolate FRPV.A63-1 segment RNA 6, complete sequence",
NC_055277,1298,Polymycoviridae,Polymycovirus,4,"Fusarium redolens polymycovirus 1 isolate FRPV.A63-1 segment RNA 4, complete sequence",
NC_055278,2040,Polymycoviridae,Polymycovirus,3,"Fusarium redolens polymycovirus 1 isolate FRPV.A63-1 segment RNA 3, complete sequence",
NC_055279,2256,Polymycoviridae,Polymycovirus,2,"Fusarium redolens polymycovirus 1 isolate FRPV.A63-1 segment RNA 2, complete sequence",
NC_055280,1003,Polymycoviridae,Polymycovirus,7,"Fusarium redolens polymycovirus 1 isolate FRPV.A63-1 segment RNA 7, complete sequence",
NC_055281,890,Polymycoviridae,Polymycovirus,8,"Fusarium redolens polymycovirus 1 isolate FRPV.A63-1 segment RNA 8, complete sequence",
NC_055282,2401,Polymycoviridae,Polymycovirus,1,"Magnaporthe oryzae polymycovirus 1 isolate TM02 segment RNA1 putative RNA-dependent RNA polymerase (ORF1a) mRNA, complete cds",
NC_055283,2233,Polymycoviridae,Polymycovirus,2,"Magnaporthe oryzae polymycovirus 1 isolate TM02 segment RNA2 hypothetical protein (ORF2a) mRNA, complete cds",
NC_055284,1324,Polymycoviridae,Polymycovirus,4,"Magnaporthe oryzae polymycovirus 1 isolate TM02 segment RNA4 hypothetical protein (ORF4a) mRNA, complete cds",
NC_055285,1963,Polymycoviridae,Polymycovirus,3,"Magnaporthe oryzae polymycovirus 1 isolate TM02 segment RNA3 hypothetical protein (ORF3a) mRNA, complete cds",
NC_055286,2259,Polymycoviridae,Polymycovirus,4,"Penicillium brevicompactum tetramycovirus 1 isolate MUT1097 segment RNA4 hypothetical protein gene, complete cds",
NC_055287,1930,Polymycoviridae,Polymycovirus,3,"Penicillium brevicompactum tetramycovirus 1 isolate MUT1097 segment RNA3 methyltransferase gene, complete cds",
NC_055288,1206,Polymycoviridae,Polymycovirus,2,"Penicillium brevicompactum tetramycovirus 1 isolate MUT1097 segment RNA2 PAS-rich protein gene, complete cds",
NC_055289,2400,Polymycoviridae,Polymycovirus,1,"Penicillium brevicompactum tetramycovirus 1 isolate MUT1097 segment RNA1 RNA-dependent RNA polymerase gene, complete cds",
NC_055294,6376,Phenuiviridae,Phlebovirus,L,"Salehabad virus strain I-81 polymerase gene, complete cds",
NC_055295,1765,Phenuiviridae,Phlebovirus,S,"Salehabad virus strain I-81 nucleoprotein gene, complete cds; and nonstructural protein gene, partial cds",
NC_055296,4033,Phenuiviridae,Phlebovirus,M,"Salehabad virus strain I-81 polyprotein gene, complete cds",
NC_055297,4839,Tospoviridae,Orthotospovirus,M,"Alstroemeria necrotic streak virus isolate San_Vicente3 segment M, complete sequence",
NC_055298,8756,Tospoviridae,Orthotospovirus,L,"Alstroemeria necrotic streak virus isolate San_Vicente3 segment L, complete sequence",
NC_055299,3113,Tospoviridae,Orthotospovirus,S,"Alstroemeria necrotic streak virus isolate San_Vicente3 segment S, complete sequence",
NC_055300,1870,Phenuiviridae,Phlebovirus,S,"Punique virus strain PI-B4-2008 nucleoprotein and non-structural protein genes, complete cds",
NC_055301,4219,Phenuiviridae,Phlebovirus,M,"Punique virus strain PI-B4-2008 polyprotein gene, complete cds",
NC_055302,6317,Phenuiviridae,Phlebovirus,L,"Punique virus strain PI-B4-2008 polymerase gene, complete cds",
NC_055303,6408,Phenuiviridae,Phlebovirus,L,"Oriximina virus segment L, complete sequence",
NC_055304,4424,Phenuiviridae,Phlebovirus,M,"Oriximina virus segment M, complete sequence",
NC_055305,1844,Phenuiviridae,Phlebovirus,S,"Oriximina virus segment S, complete sequence",
NC_055306,4365,Phenuiviridae,Phlebovirus,M,"Itaituba virus segment M, complete sequence",
NC_055307,6409,Phenuiviridae,Phlebovirus,L,"Itaituba virus segment L, complete sequence",
NC_055308,1865,Phenuiviridae,Phlebovirus,S,"Itaituba virus segment S, complete sequence",
NC_055309,6415,Phenuiviridae,Phlebovirus,L,"Rio Grande virus isolate TBM3-204 segment L, complete sequence",
NC_055310,1572,Phenuiviridae,Phlebovirus,S,"Rio Grande virus isolate TBM3-204 segment S, complete sequence",
NC_055311,4101,Phenuiviridae,Phlebovirus,M,"Rio Grande virus isolate TBM3-204 segment M, complete sequence",
NC_055312,1744,Phenuiviridae,Phlebovirus,S,"Nique virus segment S, complete sequence",
NC_055313,4235,Phenuiviridae,Phlebovirus,M,"Nique virus segment M, complete sequence",
NC_055314,6408,Phenuiviridae,Phlebovirus,L,"Nique virus segment L, complete sequence",
NC_055315,6405,Phenuiviridae,Phlebovirus,L,"Turuna virus segment L, complete sequence",
NC_055316,1827,Phenuiviridae,Phlebovirus,S,"Turuna virus segment S, complete sequence",
NC_055317,4420,Phenuiviridae,Phlebovirus,M,"Turuna virus segment M, complete sequence",
NC_055318,1780,Phenuiviridae,Phlebovirus,S,"Gabek Forest virus isolate Sud AN 754-61 segment S, complete sequence",
NC_055319,6436,Phenuiviridae,Phlebovirus,L,"Gabek Forest virus isolate Sud AN 754-61 segment L, complete sequence",
NC_055320,4447,Phenuiviridae,Phlebovirus,M,"Gabek Forest virus isolate Sud AN 754-61 segment M, complete sequence",
NC_055321,6418,Phenuiviridae,Phlebovirus,L,"Itaporanga virus isolate original segment L, complete sequence",
NC_055322,1970,Phenuiviridae,Phlebovirus,S,"Itaporanga virus isolate original segment S, complete sequence",
NC_055323,4206,Phenuiviridae,Phlebovirus,M,"Itaporanga virus isolate original segment M, complete sequence",
NC_055324,4185,Phenuiviridae,Phlebovirus,M,"Cacao virus isolate VP-437R segment M, complete sequence",
NC_055325,6406,Phenuiviridae,Phlebovirus,L,"Cacao virus isolate VP-437R segment L, complete sequence",
NC_055326,1924,Phenuiviridae,Phlebovirus,S,"Cacao virus isolate VP-437R segment S, complete sequence",
NC_055327,6414,Phenuiviridae,Phlebovirus,L,"Chagres virus segment L, complete sequence",
NC_055328,1790,Phenuiviridae,Phlebovirus,S,"Chagres virus segment S, complete sequence",
NC_055329,4398,Phenuiviridae,Phlebovirus,M,"Chagres virus segment M, complete sequence",
NC_055330,6418,Phenuiviridae,Phlebovirus,L,"Alenquer virus segment L, complete sequence",
NC_055331,1751,Phenuiviridae,Phlebovirus,S,"Alenquer virus segment S, complete sequence",
NC_055332,4286,Phenuiviridae,Phlebovirus,M,"Alenquer virus segment M, complete sequence",
NC_055333,6513,Phenuiviridae,Uukuvirus,L,"Grand Arbaud virus strain Argas 27 segment L RNA polymerase gene, complete cds",
NC_055334,1722,Phenuiviridae,Uukuvirus,S,"Grand Arbaud virus strain Argas 27 segment S nucleocapsid and non-structural protein genes, complete cds",
NC_055335,3262,Phenuiviridae,Uukuvirus,M,"Grand Arbaud virus strain Argas 27 segment M polyprotein gene, complete cds",
NC_055336,1785,Phenuiviridae,Uukuvirus,S,"Precarious point virus segment S, complete sequence",
NC_055337,6466,Phenuiviridae,Uukuvirus,L,"Precarious point virus segment L, complete sequence",
NC_055338,3285,Phenuiviridae,Uukuvirus,M,"Precarious point virus segment M, complete sequence",
NC_055339,6411,Phenuiviridae,Phlebovirus,L,"Echarte virus segment L, complete sequence",
NC_055340,1818,Phenuiviridae,Phlebovirus,S,"Echarte virus segment S, complete sequence",
NC_055341,4287,Phenuiviridae,Phlebovirus,M,"Echarte virus segment M, complete sequence",
NC_055342,1827,Phenuiviridae,Phlebovirus,S,"Maldonado virus strain FMD 0077 segment S nonstructural protein and nucleocapsid genes, complete cds",
NC_055343,3989,Phenuiviridae,Phlebovirus,M,"Maldonado virus strain FMD 0077 segment M polyprotein gene, complete cds",
NC_055344,6305,Phenuiviridae,Phlebovirus,L,"Maldonado virus strain FMD 0077 segment L L protein gene, complete cds",
NC_055345,6379,Phenuiviridae,Phlebovirus,L,"Durania virus strain Co Ar 171162 segment L, complete sequence",
NC_055346,4186,Phenuiviridae,Phlebovirus,M,"Durania virus strain Co Ar 171162 segment M, complete sequence",
NC_055347,1834,Phenuiviridae,Phlebovirus,S,"Durania virus strain Co Ar 171162 segment S, complete sequence",
NC_055348,4158,Phenuiviridae,Phlebovirus,M,"Ixcanal virus strain CA Ar 170897 segment M, complete sequence",
NC_055349,6353,Phenuiviridae,Phlebovirus,L,"Ixcanal virus strain CA Ar 170897 segment L, complete sequence",
NC_055350,1833,Phenuiviridae,Phlebovirus,S,"Ixcanal virus strain CA Ar 170897 segment S, complete sequence",
NC_055351,1726,Phenuiviridae,Uukuvirus,S,"Murre virus strain Murre H segment S nucleocapsid and non-structural protein genes, complete cds",
NC_055352,3252,Phenuiviridae,Uukuvirus,M,"Murre virus strain Murre H segment M polyprotein gene, complete cds",
NC_055353,6477,Phenuiviridae,Uukuvirus,L,"Murre virus strain Murre H segment L RNA polymerase gene, complete cds",
NC_055354,3229,Phenuiviridae,Uukuvirus,M,"Zaliv Terpenia virus segment M, complete sequence",
NC_055355,1721,Phenuiviridae,Uukuvirus,S,"Zaliv Terpenia virus segment S, complete sequence",
NC_055356,6422,Phenuiviridae,Uukuvirus,L,"Zaliv Terpenia virus segment L, complete sequence",
NC_055357,6379,Phenuiviridae,Phlebovirus,L,"Odrenisrou virus segment L, complete sequence",
NC_055358,1692,Phenuiviridae,Phlebovirus,S,"Odrenisrou virus segment S, complete sequence",
NC_055359,4016,Phenuiviridae,Phlebovirus,M,"Odrenisrou virus segment M, complete sequence",
NC_055360,6513,Phenuiviridae,Phlebovirus,L,"Salanga virus strain AnB 904a polymerase gene, complete cds",
NC_055361,4412,Phenuiviridae,Phlebovirus,M,"Salanga virus strain AnB 904a polyprotein gene, complete cds",
NC_055362,1795,Phenuiviridae,Phlebovirus,S,"Salanga virus strain AnB 904a nonstructural protein and nucleocapsid genes, complete cds",
NC_055363,6387,Phenuiviridae,Phlebovirus,L,"Gordil virus isolate Dak ANBr 496d segment L, complete sequence",
NC_055364,3422,Phenuiviridae,Phlebovirus,M,"Gordil virus isolate Dak ANBr 496d segment M, complete sequence",
NC_055365,1949,Phenuiviridae,Phlebovirus,S,"Gordil virus isolate Dak ANBr 496d segment S, complete sequence",
NC_055366,1673,Phenuiviridae,Uukuvirus,S,"Rukutama virus strain LEIV-6269C segment S, complete sequence",
NC_055367,3175,Phenuiviridae,Uukuvirus,M,"Rukutama virus strain LEIV-6269C segment M, complete sequence",
NC_055368,6457,Phenuiviridae,Uukuvirus,L,"Rukutama virus strain LEIV-6269C segment L, complete sequence",
NC_055369,3209,Phenuiviridae,Uukuvirus,M,"Silverwater virus isolate Can131 segment M, complete sequence",
NC_055370,6412,Phenuiviridae,Uukuvirus,L,"Silverwater virus isolate Can131 segment L, complete sequence",
NC_055371,1732,Phenuiviridae,Uukuvirus,S,"Silverwater virus isolate Can131 segment S, complete sequence",
NC_055372,1758,Phenuiviridae,Phlebovirus,S,"Alcube virus strain S20 segment S, complete sequence",
NC_055373,4164,Phenuiviridae,Phlebovirus,M,"Alcube virus strain S20 segment M, complete sequence",
NC_055374,6405,Phenuiviridae,Phlebovirus,L,"Alcube virus strain S20 segment L, complete sequence",
NC_055375,1269,Hantaviridae,Loanvirus,2,"Brno virus strain 7/2012/CZE nucleocapsid protein gene, partial cds",
NC_055376,6432,Hantaviridae,Loanvirus,1,"Brno virus strain 7/2012/CZE RNA-dependent RNA polymerase gene, partial cds",
NC_055377,3408,Hantaviridae,Loanvirus,3,"Brno virus strain 7/2012/CZE glycoprotein precursor, gene, partial cds",
NC_055378,1802,Phenuiviridae,Phlebovirus,S,"Dashli virus strain 131 segment S, complete sequence",
NC_055379,4413,Phenuiviridae,Phlebovirus,M,"Dashli virus strain 131 segment M, complete sequence",
NC_055380,6444,Phenuiviridae,Phlebovirus,L,"Dashli virus strain 131 segment L, complete sequence",
NC_055381,1758,Phenuiviridae,Phlebovirus,S,"Medjerda Valley virus strain T131 segment S, complete sequence",
NC_055382,4216,Phenuiviridae,Phlebovirus,M,"Medjerda Valley virus strain T131 segment M, complete sequence",
NC_055383,6403,Phenuiviridae,Phlebovirus,L,"Medjerda Valley virus strain T131 segment L, complete sequence",
NC_055384,4201,Phenuiviridae,Phlebovirus,M,"Tehran virus strain I-47 polyprotein gene, complete cds",
NC_055385,6403,Phenuiviridae,Phlebovirus,L,"Tehran virus strain I-47 polymerase gene, complete cds",
NC_055386,1362,Phenuiviridae,Phlebovirus,S,"Tehran virus strain I-47 nucleoprotein and non-structural protein genes, complete cds",
NC_055387,1786,Phenuiviridae,Phlebovirus,S,"Buenaventura virus strain CoAr3319 N protein and NS protein genes, complete cds",
NC_055388,4439,Phenuiviridae,Phlebovirus,M,"Buenaventura virus strain CoAr3319 M protein gene, complete cds",
NC_055389,6449,Phenuiviridae,Phlebovirus,L,"Buenaventura virus strain CoAr3319 L protein gene, complete cds",
NC_055390,7219,Phenuiviridae,Rubodvirus,L,"Apple rubbery wood virus 1 isolate 982-11 segment L RNA-dependent RNA polymerase (RdRp) gene, complete cds",
NC_055391,1613,Phenuiviridae,Rubodvirus,M,"Apple rubbery wood virus 1 isolate 982-11 segment M movement protein (MP) gene, complete cds",
NC_055392,1303,Phenuiviridae,Rubodvirus,S,"Apple rubbery wood virus 1 isolate 982-11 segment S capsid protein (CP) gene, complete cds",?
NC_055393,2069,Phasmaviridae,Orthophasmavirus,3,"Anopheles triannulatus orthophasmavirus isolate AMA segment RNA3, complete sequence",
NC_055394,6494,Phasmaviridae,Orthophasmavirus,1,"Anopheles triannulatus orthophasmavirus isolate AMA segment RNA1, complete sequence",
NC_055395,2246,Phasmaviridae,Orthophasmavirus,2,"Anopheles triannulatus orthophasmavirus isolate AMA segment RNA2, complete sequence",
NC_055396,6490,Phenuiviridae,Phlebovirus,L,"La Gloria virus strain SP0584-PA-2014 segment L, complete sequence",
NC_055397,4255,Phenuiviridae,Phlebovirus,M,"La Gloria virus strain SP0584-PA-2014 segment M, complete sequence",
NC_055398,1736,Phenuiviridae,Phlebovirus,S,"La Gloria virus strain SP0584-PA-2014 segment S, complete sequence",
NC_055399,6371,Phenuiviridae,Phlebovirus,L,"Mona Grita virus strain SP0260-PA-2014 segment L, complete sequence",
NC_055400,4160,Phenuiviridae,Phlebovirus,M,"Mona Grita virus strain SP0260-PA-2014 segment M, complete sequence",
NC_055401,1725,Phenuiviridae,Phlebovirus,S,"Mona Grita virus strain SP0260-PA-2014 segment S, complete sequence",
NC_055402,6354,Phenuiviridae,Phlebovirus,L,"Tres Almendras virus strain SP0412-PA-2013 segment L, complete sequence",
NC_055403,1732,Phenuiviridae,Phlebovirus,S,"Tres Almendras virus strain SP0412-PA-2013 segment S, complete sequence",
NC_055404,4174,Phenuiviridae,Phlebovirus,M,"Tres Almendras virus strain SP0412-PA-2013 segment M, complete sequence",
NC_055405,1701,Phenuiviridae,Phlebovirus,S,"Ntepes virus strain MRG54-KE-2014 segment S, complete sequence",
NC_055406,4454,Phenuiviridae,Phlebovirus,M,"Ntepes virus strain MRG54-KE-2014 segment M, complete sequence",
NC_055407,6436,Phenuiviridae,Phlebovirus,L,"Ntepes virus strain MRG54-KE-2014 segment L, complete sequence",
NC_055408,893,Peribunyaviridae,Pacuvirus,S,"Caimito virus isolate VP-488A segment S, complete sequence",
NC_055409,6863,Peribunyaviridae,Pacuvirus,L,"Caimito virus isolate VP-488A segment L, complete sequence",
NC_055410,4550,Peribunyaviridae,Pacuvirus,M,"Caimito virus isolate VP-488A segment M, complete sequence",
NC_055411,4786,Tospoviridae,Orthotospovirus,M,"Tomato yellow ring virus isolate TYRV-t segment M, complete sequence",
NC_055412,3061,Tospoviridae,Orthotospovirus,S,"Tomato yellow ring virus strain TYRV-t non-structural protein (NS) and nucleocapsid protein (N) genes, complete cds",
NC_055413,8877,Tospoviridae,Orthotospovirus,L,"Tomato yellow ring virus isolate TYRV-t segment L, complete sequence",
NC_055414,6402,Phenuiviridae,Phlebovirus,L,"Massilia virus strain W segment L, complete sequence",
NC_055415,1864,Phenuiviridae,Phlebovirus,S,"Massilia virus strain W segment S, complete sequence",
NC_055416,4219,Phenuiviridae,Phlebovirus,M,"Massilia virus strain W segment M, complete sequence",
NC_055417,1685,Phenuiviridae,Phlebovirus,S,"Karimabad virus isolate 91045-AG segment S, complete sequence",
NC_055418,4556,Phenuiviridae,Phlebovirus,M,"Karimabad virus isolate 91045-AG segment M, complete sequence",
NC_055419,6441,Phenuiviridae,Phlebovirus,L,"Karimabad virus isolate 91045-AG segment L, complete sequence",
NC_055420,6423,Phenuiviridae,Phlebovirus,L,"Icoaraci virus isolate BeAn24262 segment L, complete sequence",
NC_055421,4324,Phenuiviridae,Phlebovirus,M,"Icoaraci virus isolate BeAn24262 segment M, complete sequence",
NC_055422,1978,Phenuiviridae,Phlebovirus,S,"Icoaraci virus isolate BeAn24262 segment S, complete sequence",
NC_055423,6517,Phenuiviridae,Uukuvirus,L,"Lihan Tick Virus strain LH-1 RNA-dependent RNA polymerase (L) gene, complete cds",
NC_055424,1762,Phenuiviridae,Uukuvirus,S,"Lihan tick virus strain LH-1 nucleocapsid protein (N) gene, complete cds",
NC_055425,6659,Phenuiviridae,Uukuvirus,L,"Tacheng Tick Virus 2 strain TC252 RNA-dependent RNA polymerase (L) gene, complete cds",
NC_055426,2185,Phenuiviridae,Uukuvirus,S,"Tacheng Tick Virus 2 strain TC252 nucleocapsid protein (N) gene, complete cds",
NC_055427,6527,Phenuiviridae,Uukuvirus,L,"Yongjia Tick Virus 1 strain YJ1-1 RNA-dependent RNA polymerase (L) gene, complete cds",
NC_055428,1830,Phenuiviridae,Uukuvirus,S,"Yongjia Tick Virus 1 strain YJ1-1 nucleocapsid protein (N) and nonstructural protein (NSs) genes, complete cds",
NC_055429,4857,Tospoviridae,Orthotospovirus,M,"Groundnut chlorotic fan-spot virus isolate PD2 movement protein (NSm) and glycoprotein precursor, genes, complete cds",
NC_055430,8796,Tospoviridae,Orthotospovirus,L,"Groundnut chlorotic fan-spot virus isolate PD2 RNA-dependent RNA polymerase gene, complete cds",
NC_055431,1404,Phenuiviridae,Ixovirus,S,"Blacklegged tick phlebovirus 3 isolate A1 N gene, complete cds",
NC_055432,6704,Phenuiviridae,Ixovirus,L,"Blacklegged tick phlebovirus 3 isolate A1 L gene, complete cds",
NC_055433,2496,Phenuiviridae,Ixovirus,S,"Norway phlebovirus 1 isolate NOR/A2/Bronnoya/2014 nucleocapsid protein gene, complete cds",
NC_055434,6714,Phenuiviridae,Ixovirus,L,"Norway phlebovirus 1 isolate NOR/A2/Bronnoya/2014 RNA-dependent RNA-polymerase gene, complete cds",
NC_055435,7256,Phenuiviridae,Entovirus,1,"Entoleuca phenui-like virus 1 isolate E115-5 replicase gene, complete cds",
NC_055436,2816,Phenuiviridae,Entovirus,2,"Entoleuca phenui-like virus 1 isolate EnPV1-115-5 segment RNA2, complete sequence",
NC_055437,6461,Phenuiviridae,Phlebovirus,L,"Viola virus RNA polymerase gene, complete cds",
NC_055438,4403,Phenuiviridae,Phlebovirus,M,"Viola virus polyprotein gene, complete cds",
NC_055439,3405,Arenaviridae,Mammarenavirus,S,"Xapuri virus strain LBCE 19881 segment S, complete sequence",
NC_055440,7049,Arenaviridae,Mammarenavirus,L,"Xapuri virus strain LBCE 19881 segment L, complete sequence",
NC_055441,5913,Arenaviridae,Hartmanivirus,L,"Dante Muikkunen virus 1 isolate F18-5 segment L RNA-dependent RNA polymerase (RdRp) gene, complete cds",
